iter	Passed	Remaining
347	3807	7134
348	3819	7123
349	3832	7117
350	3841	7103
351	3851	7090
352	3862	7079
353	3871	7065
354	3882	7054
355	3892	7040
356	3903	7030
357	3914	7018
358	3925	7008
359	3935	6996
360	3945	6983
361	3957	6974
362	3967	6962
363	3975	6946
364	3985	6933
365	3993	6918
366	4004	6906
367	4014	6894
368	4023	6879
369	4032	6866
370	4041	6852
371	4052	6841
372	4063	6830
373	4072	6816
374	4082	6803
375	4091	6790
376	4101	6777
377	4113	6768
378	4124	6757
379	4135	6746
380	4147	6737
381	4158	6727
382	4167	6714
383	4177	6700
384	4188	6691
385	4201	6683
386	4210	6669
387	4219	6655
388	4229	6642
389	4238	6629
390	4251	6621
391	4262	6611
392	4271	6597
393	4281	6585
394	4291	6572
395	4300	6559
396	4310	6547
397	4319	6533
398	4329	6522
399	4338	6508
400	4347	6494
401	4358	6483
402	4371	6475
403	4380	6462
404	4391	6452
405	4402	6441
406	4412	6428
407	4423	6418
408	4433	6405
409	4443	6394
410	4453	6382
411	4463	6370
412	4475	6361
413	4485	6348
414	4493	6334
415	4502	6320
416	4514	6311
417	4525	6301
418	4538	6292
419	4548	6281
420	4558	6269
421	4570	6260
422	4581	6249
423	4591	6238
424	4602	6226
425	4610	6212
426	4621	6201
427	4632	6190
428	4642	6179
429	4653	6168
430	4663	6156
431	4672	6144
432	4684	6133
433	4694	6121
434	4703	6109
435	4714	6098
436	4725	6087
437	4734	6075
438	4745	6064
439	4754	6051
440	4763	6037
441	4772	6025
442	4781	6012
443	4792	6001
444	4805	5992
445	4815	5981
446	4824	5968
447	4832	5954
448	4841	5941
449	4851	5929
450	4861	5918
451	4871	5905
452	4880	5893
453	4889	5880
454	4899	5868
455	4910	5858
456	4920	5846
457	4930	5834
458	4940	5822
459	4949	5810
460	4958	5797
461	4969	5787
462	4978	5774
463	4989	5763
464	5001	5754
465	5011	5742
466	5022	5732
467	5033	5721
468	5042	5708
469	5051	5696
470	5061	5684
471	5070	5671
472	5080	5660
473	5092	5650
474	5103	5640
475	5117	5634
476	5126	5620
477	5134	5607
478	5143	5594
479	5153	5582
480	5162	5569
481	5172	5559
482	5182	5547
483	5192	5535
484	5201	5523
485	5211	5511
486	5219	5498
487	5228	5485
488	5238	5474
489	5248	5463
490	5258	5451
491	5268	5439
492	5279	5429
493	5290	5419
494	5301	5408
495	5310	5396
496	5319	5383
497	5328	5371
498	5338	5360
499	5348	5348
500	5358	5337
501	5368	5325
502	5376	5312
503	5384	5299
504	5396	5289
505	5410	5281
506	5428	5279
507	5437	5266
508	5445	5253
509	5454	5240
510	5464	5229
511	5473	5216
512	5483	5205
513	5493	5194
514	5503	5183
515	5514	5172
516	5525	5162
517	5534	5150
518	5545	5139
519	5554	5127
520	5562	5114
521	5573	5103
522	5583	5092
523	5592	5080
524	5603	5069
525	5614	5059
526	5624	5047
527	5634	5036
528	5644	5025
529	5654	5014
530	5663	5002
531	5674	4991
532	5683	4979
533	5692	4967
534	5702	4956
535	5711	4944
536	5723	4934
537	5733	4923
538	5743	4912
539	5752	4900
540	5765	4891
541	5777	4882
542	5787	4870
543	5797	4859
544	5806	4847
545	5816	4836
546	5825	4824
547	5836	4813
548	5844	4801
549	5855	4790
550	5864	4778
551	5873	4766
552	5885	4756
553	5894	4745
554	5904	4734
555	5913	4722
556	5923	4711
557	5933	4700
558	5944	4689
559	5954	4678
560	5966	4668
561	5977	4659
562	5987	4647
563	5997	4636
564	6009	4626
565	6021	4616
566	6033	4607
567	6043	4596
568	6053	4585
569	6062	4573
570	6074	4563
571	6083	4551
572	6093	4540
573	6101	4528
574	6110	4516
575	6120	4505
576	6130	4494
577	6139	4482
578	6150	4471
579	6159	4460
580	6168	4448
581	6178	4437
582	6189	4426
583	6198	4415
584	6209	4404
585	6219	4393
586	6228	4382
587	6236	4370
588	6246	4358
589	6255	4347
590	6265	4336
591	6281	4329
592	6292	4319
593	6301	4307
594	6309	4294
595	6319	4283
596	6330	4273
597	6340	4262
598	6350	4251
599	6359	4239
600	6369	4228
601	6380	4218
602	6389	4206
603	6399	4195
604	6409	4184
605	6417	4172
606	6428	4162
607	6439	4152
608	6449	4140
609	6463	4132
610	6481	4126
611	6494	4117
612	6508	4108
613	6518	4098
614	6529	4087
615	6539	4076
616	6551	4066
617	6564	4057
618	6578	4049
619	6591	4039
620	6605	4031
621	6620	4023
622	6631	4012
623	6643	4003
624	6654	3992
625	6667	3983
626	6680	3974
627	6691	3963
628	6705	3955
629	6717	3945
630	6732	3937
631	6745	3927
632	6757	3917
633	6770	3908
634	6784	3899
635	6798	3890
636	6812	3881
637	6824	3872
638	6835	3861
639	6849	3852
640	6860	3842
641	6874	3833
642	6886	3823
643	6899	3813
644	6910	3803
645	6919	3791
646	6929	3780
647	6941	3770
648	6955	3761
649	6975	3756
650	7005	3755
651	7036	3755
652	7047	3744
653	7061	3735
654	7080	3729
655	7091	3718
656	7103	3708
657	7117	3699
658	7132	3690
659	7144	3680
660	7155	3670
661	7165	3658
662	7174	3646
663	7185	3636
664	7195	3624
665	7205	3613
666	7215	3602
667	7223	3590
668	7232	3578
669	7243	3567
670	7254	3556
671	7263	3545
672	7273	3533
673	7282	3522
674	7291	3510
675	7301	3499
676	7312	3488
677	7321	3477
678	7331	3465
679	7341	3454
680	7349	3442
681	7361	3432
682	7370	3420
683	7380	3409
684	7390	3398
685	7416	3394
686	7429	3384
687	7438	3373
688	7449	3362
689	7460	3351
690	7470	3340
691	7479	3329
692	7488	3317
693	7499	3306
694	7513	3297
695	7524	3286
696	7533	3275
697	7542	3263
698	7553	3252
699	7563	3241
700	7573	3230
701	7584	3219
702	7594	3208
703	7603	3197
704	7616	3187
705	7626	3175
706	7636	3164
707	7647	3154
708	7656	3142
709	7666	3131
710	7678	3121
711	7688	3109
712	7702	3100
713	7710	3088
714	7719	3076
715	7728	3065
716	7738	3054
717	7747	3043
718	7757	3031
719	7769	3021
720	7777	3009
721	7787	2998
722	7796	2987
723	7806	2975
724	7817	2965
725	7829	2955
726	7839	2943
727	7850	2933
728	7862	2922
729	7873	2912
730	7883	2900
731	7893	2890
732	7905	2879
733	7914	2868
734	7925	2857
735	7935	2846
736	7946	2835
737	7955	2824
738	7963	2812
739	7985	2805
740	7993	2793
741	8002	2782
742	8012	2771
743	8021	2760
744	8030	2748
745	8041	2738
746	8051	2727
747	8061	2716
748	8073	2705
749	8082	2694
750	8092	2682
751	8103	2672
752	8115	2661
753	8124	2650
754	8136	2640
755	8147	2629
756	8157	2618
757	8169	2608
758	8179	2597
759	8189	2586
760	8198	2574
761	8219	2567
762	8227	2555
763	8237	2544
764	8246	2533
765	8256	2522
766	8266	2511
767	8274	2499
768	8285	2489
769	8296	2478
770	8305	2466
771	8314	2455
772	8326	2445
773	8336	2434
774	8348	2423
775	8359	2412
776	8367	2401
777	8377	2390
778	8386	2379
779	8396	2368
780	8407	2357
781	8416	2346
782	8426	2335
783	8436	2324
784	8447	2313
785	8458	2302
786	8469	2292
787	8479	2281
788	8489	2270
789	8502	2260
790	8511	2248
791	8520	2237
792	8532	2227
793	8542	2216
794	8551	2205
795	8560	2193
796	8569	2182
797	8579	2171
798	8592	2161
799	8601	2150
800	8610	2139
801	8620	2128
802	8630	2117
803	8639	2106
804	8651	2095
805	8660	2084
806	8669	2073
807	8678	2062
808	8687	2050
809	8698	2040
810	8707	2029
811	8717	2018
812	8729	2007
813	8740	1997
814	8749	1986
815	8760	1975
816	8769	1964
817	8778	1953
818	8790	1942
819	8801	1932
820	8811	1921
821	8823	1910
822	8832	1899
823	8841	1888
824	8851	1877
825	8861	1866
826	8871	1855
827	8884	1845
828	8894	1834
829	8903	1823
830	8912	1812
831	8922	1801
832	8931	1790
833	8941	1779
834	8949	1768
835	8959	1757
836	8968	1746
837	8976	1735
838	8987	1724
839	8996	1713
840	9004	1702
841	9014	1691
842	9023	1680
843	9031	1669
844	9040	1658
845	9050	1647
846	9059	1636
847	9067	1625
848	9079	1614
849	9087	1603
850	9111	1595
851	9120	1584
852	9129	1573
853	9137	1562
854	9147	1551
855	9156	1540
856	9165	1529
857	9174	1518
858	9183	1507
859	9193	1496
860	9202	1485
861	9210	1474
862	9220	1463
863	9230	1452
864	9239	1441
865	9249	1431
866	9259	1420
867	9269	1409
868	9278	1398
869	9293	1388
870	9301	1377
871	9311	1366
872	9321	1356
873	9330	1345
874	9338	1334
875	9347	1323
876	9356	1312
877	9367	1301
878	9378	1290
879	9389	1280
880	9399	1269
881	9410	1259
882	9422	1248
883	9434	1237
884	9446	1227
885	9455	1216
886	9465	1205
887	9476	1195
888	9485	1184
889	9495	1173
890	9507	1163
891	9516	1152
892	9528	1141
893	9541	1131
894	9552	1120
895	9564	1110
896	9573	1099
897	9583	1088
898	9596	1078
899	9606	1067
900	9616	1056
901	9625	1045
902	9633	1034
903	9643	1024
904	9652	1013
905	9663	1002
906	9672	991
907	9682	981
908	9691	970
909	9699	959
910	9710	948
911	9720	937
912	9729	927
913	9738	916
914	9747	905
915	9756	894
916	9766	884
917	9775	873
918	9786	862
919	9798	852
920	9808	841
921	9817	830
922	9828	819
923	9838	809
924	9847	798
925	9859	787
926	9870	777
927	9880	766
928	9889	755
929	9899	745
930	9908	734
931	9918	723
932	9926	712
933	9936	702
934	9947	691
935	9955	680
936	9967	670
937	9978	659
938	9986	648
939	9996	638
940	10007	627
941	10015	616
942	10024	605
943	10033	595
944	10043	584
945	10052	573
946	10060	563
947	10069	552
948	10079	541
949	10089	531
950	10097	520
951	10106	509
952	10116	498
953	10124	488
954	10134	477
955	10142	466
956	10152	456
957	10162	445
958	10173	434
959	10183	424
960	10194	413
961	10203	403
962	10213	392
963	10225	381
964	10234	371
965	10243	360
966	10252	349
967	10261	339
968	10270	328
969	10280	317
970	10291	307
971	10300	296
972	10309	286
973	10319	275
974	10329	264
975	10338	254
976	10348	243
977	10356	232
978	10366	222
979	10376	211
980	10386	201
981	10397	190
982	10408	180
983	10419	169
984	10431	158
985	10441	148
986	10451	137
987	10460	127
988	10470	116
989	10480	105
990	10489	95
991	10499	84
992	10508	74
993	10516	63
994	10526	52
995	10535	42
996	10545	31
997	10554	21
998	10564	10
999	10573	0
