iter	RMSE
0	0.7661866675
1	0.7596806659
2	0.7531848939
3	0.7482432032
4	0.7432537512
5	0.738932291
6	0.7336961491
7	0.7300734755
8	0.7257954446
9	0.7218356399
10	0.7180823495
11	0.7144941075
12	0.711260434
13	0.7081875038
14	0.7046618436
15	0.7015053873
16	0.6982173828
17	0.6954662582
18	0.6930697051
19	0.6902408788
20	0.6880986936
21	0.6853773573
22	0.6824299712
23	0.6804755297
24	0.6789346146
25	0.6767153144
26	0.674625923
27	0.6733637267
28	0.6717107397
29	0.6698615845
30	0.6678066295
31	0.6659431373
32	0.6642463018
33	0.6629568714
34	0.6614793176
35	0.6601570778
36	0.6585952825
37	0.6577420221
38	0.6564925681
39	0.6553404789
40	0.6534856824
41	0.6523265277
42	0.6511290648
43	0.6500984055
44	0.648969634
45	0.6481491367
46	0.6468976534
47	0.6457012803
48	0.6449152637
49	0.6438898445
50	0.6429378024
51	0.642299919
52	0.6413453658
53	0.6403924937
54	0.6391898068
55	0.6383249965
56	0.6375814409
57	0.6363743157
58	0.6356089833
59	0.6349341392
60	0.6342943518
61	0.6335789827
62	0.632749016
63	0.6318454305
64	0.6308295706
65	0.6300027623
66	0.6292627766
67	0.6282034555
68	0.6273860486
69	0.6266371915
70	0.6258700945
71	0.6251328171
72	0.6245315359
73	0.6240189004
74	0.6233389629
75	0.6228088479
76	0.6219753285
77	0.6212515346
78	0.6205231902
79	0.6201021704
80	0.6194248762
81	0.6186453565
82	0.617967903
83	0.6173930105
84	0.6166658348
85	0.6160818385
86	0.6154479165
87	0.6146544622
88	0.6138642683
89	0.6134362057
90	0.6125197109
91	0.6120960504
92	0.6115058446
93	0.6108116174
94	0.6103519252
95	0.6098519067
96	0.6091059185
97	0.6083041204
98	0.6078283295
99	0.6072246376
100	0.6065911426
101	0.6062052948
102	0.605593576
103	0.6053768883
104	0.6047864029
105	0.604368753
106	0.6038703153
107	0.6034966171
108	0.6029145297
109	0.6025955884
110	0.6020897635
111	0.6017004495
112	0.6012827751
113	0.6007553013
114	0.6002833112
115	0.5996410989
116	0.5989664512
117	0.5985411874
118	0.5981324791
119	0.5977700809
120	0.5972939301
121	0.5968864068
122	0.5966583628
123	0.5962344643
124	0.5959250504
125	0.5954976377
126	0.5949531485
127	0.5945411803
128	0.5937548654
129	0.5931977706
130	0.5926403503
131	0.5920842978
132	0.5916221205
133	0.5911564213
134	0.5904896504
135	0.5900054204
136	0.5897601569
137	0.5894765838
138	0.5890224333
139	0.5882711312
140	0.5878218116
141	0.587242314
142	0.5864644351
143	0.5860344453
144	0.5854401302
145	0.5849629853
146	0.5845689806
147	0.5840708351
148	0.5837490297
149	0.5830824259
150	0.5826373466
151	0.5825848469
152	0.5818816162
153	0.5812829554
154	0.580744481
155	0.5804081043
156	0.5797389078
